ISim P.20131013 (signature 0x7708f090)
This is a Full version of ISim.
Time resolution is 1 ps
Simulator is doing circuit initialization process.
Finished circuit initialization process.
@000038d8: $31 <= 000038e0
@000038dc: $31 <= 000038e8
@000038e4: $31 <= 000038f0
@000038e8: $11 <= 00003908
@000038ec: $31 <= 00000008
@000038f0: $31 <= 0000000c
@000038f4: $31 <= 0000005c
@000038fc: $31 <= 00003904
@00003900: *00001904 <= 00003904
@00003908: $31 <= 0000390c
@0000390c: $11 <= 0000392c
@00003910: $31 <= 00000004
@00003914: $31 <= 00000068
@00003918: $31 <= 0000003c
@00003920: $31 <= 00003928
@00003924: $31 <= 0000392c
@00003930: *0000192c <= 0000392c
@00003938: $11 <= 00003958
@0000393c: $31 <= 00000000
@00003940: $31 <= 00000000
@00003944: $31 <= 00000000
@0000394c: $31 <= 00003954
@00003950: $31 <= 0000395c
@0000395c: $31 <= 00003960
@00003964: $11 <= 00003984
@00003968: $31 <= 00000000
@0000396c: $31 <= 00000000
@00003970: $31 <= 00000000
@00003978: $31 <= 00003980
@0000397c: *00001980 <= 00003980
@00003988: *00001980 <= 00003980
@0000398c: $31 <= 00000000
@00003990: $11 <= 000039b0
@00003994: $31 <= 00000018
@00003998: $31 <= 00000044
@0000399c: $31 <= 00000014
@000039a4: $31 <= 000039ac
@000039a8: *000019ac <= 000039ac
@000039b4: $31 <= 000039b4
@000039b8: $31 <= 000039bc
@000039bc: $11 <= 000039dc
@000039c0: $31 <= 00000008
@000039c4: $31 <= 0000000c
@000039c8: $31 <= 0000005c
@000039d0: $31 <= 000039d8
@000039d4: $31 <= 00000000
@000039dc: $ 9 <= 00000000
@000039e4: $31 <= 00000008
@000039ec: $11 <= 00003a0c
@000039f0: $31 <= 00000014
@000039f4: $31 <= 0000004c
@000039f8: $31 <= 00000058
@00003a00: $31 <= 00003a08
@00003a04: $31 <= 00003a0c
@00003a0c: $ 9 <= 00003a0c
@00003a14: $31 <= 00003a14
@00003a1c: $11 <= 00003a3c
@00003a20: $31 <= 00000010
@00003a24: $31 <= 00000050
@00003a28: $31 <= 00000048
@00003a30: $31 <= 00003a38
@00003a34: $31 <= 00003a3c
@00003a3c: $ 9 <= 00003a3d
@00003a44: $31 <= 00003a44
@00003a48: $31 <= 00000000
@00003a4c: $11 <= 00003a6c
@00003a50: $31 <= 0000000c
@00003a54: $31 <= 0000005c
@00003a58: $31 <= 00000034
@00003a60: $31 <= 00003a68
@00003a64: $31 <= 00000000
@00003a6c: $ 9 <= 00000001
@00003a74: *00001000 <= 00000000
@00003a78: $31 <= 00000000
@00003a7c: $11 <= 00003a9c
@00003a80: $31 <= 00000010
@00003a84: $31 <= 00000050
@00003a88: $31 <= 00000048
@00003a90: $31 <= 00003a98
@00003a94: $31 <= 00000000
