
@00003000: $ 8 <= 00000000
@00003004: *00000190 <= 00000000
@00004188: $15 <= 000033f8
@0000418c: $15 <= 00003400
@00003400: $14 <= 00001926
@00003404: $30 <= 0000340c
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003404
@0000418c: $15 <= 0000340c
@0000340c: $14 <= 00001926
@00003410: $30 <= 00003418
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003410
@0000418c: $15 <= 00003418
@00003418: $14 <= 00001926
@0000341c: $30 <= 00003424
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 0000341c
@0000418c: $15 <= 00003424
@00003424: $14 <= 00001926
@00003428: $30 <= 00003430
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003428
@0000418c: $15 <= 00003430
@00003430: $14 <= 00001926
@00003434: $30 <= 0000343c
@00003438: *00000000 <= 7f0e7f0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 0000343c
@0000343c: $14 <= 00001926
@00003440: $30 <= 00003448
@00003444: *00000000 <= 7f0e0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 00003448
@00003448: $14 <= 00001926
@0000344c: $30 <= 00003454
@00003450: *00000000 <= 7f0d0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 00003454
@00003454: $14 <= 00001926
@00003458: $30 <= 00003460
@0000345c: *00000000 <= 0d0d0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 00003460
@00003460: $14 <= 00001926
@00003464: $30 <= 0000346c
@00003468: *00000004 <= 7f0e7f0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 0000346c
@0000346c: $14 <= 00001926
@00003470: $30 <= 00003478
@00003474: *00000004 <= 7f0e0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 00003478
@00003478: $14 <= 00001926
@0000347c: $30 <= 00003484
@00003480: *00000004 <= 7f0d0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 00003484
@00003484: $14 <= 00001926
@00003488: $30 <= 00003490
@0000348c: *00000004 <= 0d0d0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 00003490
@00003490: $14 <= 00001926
@00003494: $30 <= 0000349c
@00003498: *00000008 <= 7f0e7f0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 0000349c
